OBJECTID,LOCATION_ID,MIDPNT_LAT,MIDPNT_LON,HMGNS_FLOW_ID,HMGNS_LNK_ID,HMGNS_LNK_DESC,FLOW,ALLVEHS_MMW,ALLVEH_CALC,ALLVEHS_AADT,TRUCKS_AADT,TRUCK_CALC,PER_TRUCKS,TWO_WAY_AADT,ALLVEH_AMPEAK,ALLVEH_PMPEAK,GROWTH_RATE,CI,YR,LABEL
357488,2311,-37.8064976237263,144.961410834497,2311,3140,VICTORIA STREET btwn BOUVERIE STREET & SWANSTON STREET,EAST BOUND,19000,E,18000,1100,E,0.07,36000,,,-0.007,0.004,2017,"18,000* (6% 1,100*) EAST BOUND"
357489,2314,-37.8080099568313,144.975906436317,2314,3150,VICTORIA PARADE btwn GISBORNE STREET & BRUNSWICK STREET,EAST BOUND,24000,E,22000,1300,E,0.07,44000,,,-0.009000000000000001,0.002,2017,"22,000* (6% 1,300*) EAST BOUND"
357490,1407,-37.789176049002,144.940025828738,1407,3158,BOUNDARY ROAD btwn RACECOURSE ROAD & MACAULAY ROAD,SOUTH BOUND,5300,E,4800,297,E,0.07,11000,,,0.011000000000000001,0.005,2017,"4,800* (6% 297*) SOUTH BOUND"
357491,2318,-37.5449610231184,143.793443684791,2318,3163,STURT STREET btwn OLD WESTERN HIGHWAY & GILLIES STREET,EAST BOUND,11000,E,11000,400,E,0.04,23000,,,0.026000000000000002,0.009000000000000001,2017,"11,000* (4% 400*) EAST BOUND"
357492,1413,-37.562053309796,143.870353081072,1413,3171,VICTORIA STREET btwn PRINCES STREET & BALLARAT-BURRUMBEET ROAD,EAST BOUND,7100,E,7600,576,E,0.09,18000,,,0.012,0.002,2017,"7,600* (8% 576*) EAST BOUND"
357493,2322,-37.8612622880274,145.019714614525,2322,3179,WATTLETREE ROAD btwn KOOYONG ROAD & GLENFERRIE ROAD,EAST BOUND,8900,E,8000,99,E,0.01,13000,,,-0.005,0.007,2017,"8,000* (1% 99*) EAST BOUND"
357494,1815,-37.7925783826094,144.971344201791,1815,3188,PRINCES STREET btwn RATHDOWNE STREET & NICHOLSON STREET,EAST BOUND,37000,A,33000,2000,E,0.07,63000,2000,2300,0.004,0.005,2017,"33,000 (6% 2,000*) EAST BOUND"
355495,4691,-36.6256074050357,142.630660945368,4691,6265,STAWELL-WARRACKNABEAL ROAD btwn CROMIE STREET & WIMMERA HIGHWAY,SOUTH BOUND,592,E,627,132,E,0.26,1300,,,0.02,0.002,2017,627* (21% 132*) SOUTH BOUND
355496,5226,-36.6384730676672,143.209469126021,5226,6273,WIMMERA HIGHWAY btwn UNNAMED & NAVARRE ROAD,EAST BOUND,386,E,409,94,E,0.28,810,,,0.007,0.008,2017,409* (23% 94*) EAST BOUND
355497,4898,-36.8771644620973,141.652237514036,4898,6281,WIMMERA HIGHWAY btwn MIGA LAKE-GYMBOWEN ROAD & KANIVA-EDENHOPE ROAD,WEST BOUND,276,E,292,81,E,0.34,620,,,0.033,0.008,2017,292* (28% 81*) WEST BOUND
355498,5232,-36.7431937241522,143.657242110527,5232,6290,BENDIGO-ST ARNAUD ROAD btwn DUNOLLY ROAD & ELGIN STREET,EAST BOUND,281,E,297,55,E,0.23,620,,,0.005,0.007,2017,297* (19% 55*) EAST BOUND
355499,4746,-37.8256384113283,147.640620706647,4746,6469,ALEXANDER PARADE btwn PRINCES HIGHWAY EAST & BAIRNSDALE-PAYNESVILLE ROAD,NORTH EAST BOUND,11000,E,11000,941,E,0.1,22000,,,0.013000000000000001,0.006,2017,"11,000* (9% 941*) NORTH EAST BOUND"
355500,4747,-37.7172152001191,148.453043739852,4747,6478,PRINCES FREEWAY EAST btwn PRINCES HIGHWAY EAST Onramp & PRINCES HIGHWAY EAST Offramp,NORTH BOUND,913,E,967,223,E,0.28,1900,,,0.002,0.004,2017,967* (23% 223*) NORTH BOUND
355501,4748,-37.5661970593001,149.151047034522,4748,6486,PRINCES HIGHWAY EAST btwn STATION STREET & CANN VALLEY HIGHWAY,EAST BOUND,481,E,509,135,E,0.33,1100,,,-0.023,0.01,2017,509* (27% 135*) EAST BOUND
355502,4451,-37.849988361447,145.307020747882,4451,5273,MOUNTAIN HIGHWAY btwn LIVERPOOL ROAD & FOREST ROAD,SOUTH EAST BOUND,4200,E,3800,157,E,0.05,8000,,,-0.004,0.001,2017,"3,800* (4% 157*) SOUTH EAST BOUND"
355503,3520,-37.8133963550038,145.288114553583,3520,5282,DORSET ROAD btwn EASTFIELD ROAD & CANTERBURY ROAD,SOUTH BOUND,16000,E,15000,910,E,0.07,25000,,,-0.005,0.003,2017,"15,000* (6% 910*) SOUTH BOUND"
355504,3524,-37.7331080836589,145.13745117674,3524,5291,MAIN ROAD btwn FITZSIMONS LANE & BRIDGE STREET,NORTH BOUND,17000,E,15000,579,E,0.04,30000,,,0.035,0.008,2017,"15,000* (4% 579*) NORTH BOUND"
355505,3527,-37.5327611964349,145.341158607191,3527,5299,MT SLIDE ROAD btwn GANGELHOFF ROAD & YARRA GLEN-YEA ROAD,EAST BOUND,727,E,770,80,E,0.13,1500,,,0.029,0.014,2017,770* (10% 80*) EAST BOUND
355506,5863,-36.7713079336912,145.542465303021,5863,6673,HUME FREEWAY btwn HUME FREEWAY Offramp & HUME HIGHWAY,EAST BOUND,5800,E,6200,2100,E,0.42,12000,,,0.028,0.004,2017,"6,200* (34% 2,100*) EAST BOUND"
355507,5532,-36.5826543245541,145.960388310159,5532,6681,HUME FREEWAY btwn HUME FREEWAY Offramp & MIDLAND HIGHWAY,EAST BOUND,5700,E,6000,2100,E,0.44,12000,,,0.019,0.003,2017,"6,000* (36% 2,100*) EAST BOUND"
355508,4494,-37.7353705741918,145.222490519735,4494,5462,KANGAROO GROUND-WARRANDYTE ROAD btwn RESEARCH-WARRANDYTE ROAD & YARRA STREET,SOUTH BOUND,8700,E,7800,409,E,0.06,16000,,,0.012,0.002,2017,"7,800* (5% 409*) SOUTH BOUND"
355509,4160,-37.6751932745224,145.146743424987,4160,5474,MAIN STREET btwn DIAMOND CREEK ROAD & COLLINS STREET,NORTH EAST BOUND,10000,E,9100,574,E,0.07,18000,,,0.015000000000000001,0.002,2017,"9,100* (6% 574*) NORTH EAST BOUND"
355510,4163,-37.7931673920819,144.979846957806,4163,5483,QUEENS PARADE btwn ALEXANDRA PARADE & GEORGE STREET,EAST BOUND,7100,E,6400,396,E,0.07,13000,,,-0.007,0.002,2017,"6,400* (6% 396*) EAST BOUND"
355511,4502,-37.7254859794546,145.023222346499,4502,5492,PLENTY ROAD btwn ALBERT STREET & TYLER STREET,SOUTH WEST BOUND,15000,E,13000,807,E,0.07,25000,,,-0.001,0.002,2017,"13,000* (6% 807*) SOUTH WEST BOUND"
355512,3572,-37.6006360447117,145.095734892988,3572,5502,PLENTY ROAD btwn BRIDGE INN ROAD & GORGE ROAD,SOUTH BOUND,20000,A,18000,1200,E,0.07,35000,1700,999,0.09,0.012,2017,"18,000 (6% 1,200*) SOUTH BOUND"
355513,3981,-37.417935202404,144.995086555604,3981,5511,WATSON STREET btwn HUME FREEWAY & WALLAN ROAD,EAST BOUND,3600,E,3800,226,E,0.07,7800,,,0.07200000000000001,0.011000000000000001,2017,"3,800* (6% 226*) EAST BOUND"
355514,4505,-37.6802439356035,145.013835027273,4505,5519,HIGH STREET btwn MAIN STREET & SETTLEMENT ROAD,SOUTH BOUND,14000,E,13000,795,E,0.07,24000,,,0.012,0.003,2017,"13,000* (6% 795*) SOUTH BOUND"
355515,4507,-37.6405487853205,144.928780757482,4507,5529,PASCOE VALE ROAD btwn SOMERTON ROAD & BARRY ROAD,SOUTH BOUND,22000,E,20000,962,E,0.06,39000,,,0.044000000000000004,0.01,2017,"20,000* (5% 962*) SOUTH BOUND"
355516,3986,-37.7062754387758,144.916140852913,3986,5538,PASCOE VALE ROAD btwn GLENROY ROAD & STEWART STREET,SOUTH BOUND,20000,A,18000,1100,E,0.07,31000,1800,1200,0.004,0.007,2017,"18,000 (6% 1,100*) SOUTH BOUND"
355517,5235,-37.8279657785023,144.962568720166,5235,6304,KINGS WAY btwn WEST GATE FREEWAY Onramp & YORK STREET,SOUTH EAST BOUND,22000,A,20000,1100,E,0.06,40000,1100,1400,-0.013000000000000001,0.003,2017,"20,000 (5% 1,100*) SOUTH EAST BOUND"
355518,4293,-37.860100540301,145.010543644605,4293,6319,DANDENONG ROAD btwn ORRONG ROAD & WATTLETREE ROAD,EAST BOUND,36000,E,32000,1800,E,0.06,64000,,,-0.001,0.003,2017,"32,000* (5% 1,800*) EAST BOUND"
355519,4910,-37.875935807543,145.04510391724,4910,6327,DANDENONG ROAD btwn WAVERLEY ROAD & SIR JOHN MONASH DRIVE,SOUTH EAST BOUND,35000,E,32000,1200,E,0.05,63000,,,-0.001,0.003,2017,"32,000* (4% 1,200*) SOUTH EAST BOUND"
355520,3895,-38.3077812156373,145.183632173065,3895,5086,WATTS ROAD btwn HIGH STREET & FRANKSTON-FLINDERS ROAD,SOUTH BOUND,8700,E,7900,497,E,0.07,16000,,,0.016,0.002,2017,"7,900* (6% 497*) SOUTH BOUND"
355521,4405,-38.3737785539588,145.126983174954,4405,5094,FRANKSTON-FLINDERS ROAD btwn BALNARRING ROAD & STANLEYS ROAD,WEST BOUND,3400,E,3100,150,E,0.06,5900,,,0.016,0.002,2017,"3,100* (5% 150*) WEST BOUND"
355522,3897,-38.4300078833475,145.041518328952,3897,5101,FRANKSTON-FLINDERS ROAD btwn BYRNES ROAD & TUCKS ROAD,SOUTH BOUND,1400,E,1300,62,E,0.06,2600,,,0.013000000000000001,0.003,2017,"1,300* (5% 62*) SOUTH BOUND"
355523,3486,-38.2296499652085,145.04493359295,3486,5109,TYABB ROAD btwn NEPEAN HIGHWAY & DUNNS ROAD,SOUTH EAST BOUND,9900,E,9000,244,E,0.03,18000,,,0.014,0.002,2017,"9,000* (3% 244*) SOUTH EAST BOUND"
355524,3488,-38.2832160896404,145.068607504974,3488,5119,BALNARRING ROAD btwn OLD MOOROODUC ROAD & TUBBARUBBA ROAD,SOUTH BOUND,1900,E,1700,123,E,0.08,3400,,,0.014,0.003,2017,"1,700* (7% 123*) SOUTH BOUND"
355525,4082,-37.78339936627,145.017380203099,4082,5128,HEIDELBERG ROAD btwn STATION STREET & CHANDLER HIGHWAY,EAST BOUND,15000,E,13000,300,E,0.03,25000,,,-0.005,0.002,2017,"13,000* (2% 300*) EAST BOUND"
355526,3490,-37.7856058785045,144.921717523214,3490,5138,ASCOT VALE ROAD btwn DUNCAN STREET & EPSOM ROAD,SOUTH BOUND,10000,E,9100,563,E,0.07,17000,,,-0.004,0.001,2017,"9,100* (6% 563*) SOUTH BOUND"
355527,3908,-38.1473163068175,145.12469844309,3908,5146,BAXTER STREET btwn DAVEY STREET & CRANBOURNE ROAD,NORTH BOUND,8100,E,7300,450,E,0.07,15000,,,-0.004,0.001,2017,"7,300* (6% 450*) NORTH BOUND"
355528,3495,-38.123902457142,145.249024132038,3495,5155,CRANBOURNE-FRANKSTON ROAD btwn PEARCEDALE ROAD & HALL ROAD,NORTH BOUND,11000,E,9900,511,E,0.06,20000,,,0.015000000000000001,0.002,2017,"9,900* (5% 511*) NORTH BOUND"
355529,3942,-37.3173208349036,145.29263345915,3942,5307,FLOWERDALE ROAD btwn KING PARROT CREEK ROAD & GANGELHOFF ROAD,SOUTH BOUND,722,E,765,62,E,0.1,1600,,,-0.006,0.01,2017,765* (8% 62*) SOUTH BOUND
355530,3532,-38.0385581672429,145.109025597001,3532,5315,EDITHVALE ROAD btwn STATION STREET & WELLS ROAD,NORTH EAST BOUND,9400,A,8500,523,E,0.07,12000,786,649,0.013000000000000001,0.003,2017,"8,500 (6% 523*) NORTH EAST BOUND"
355531,4127,-37.9611769705264,145.361144748983,4127,5325,WELLINGTON ROAD btwn BERWICK ROAD & AURA VALE ROAD,NORTH EAST BOUND,5600,E,5100,276,E,0.06,10000,,,0.016,0.002,2017,"5,100* (5% 276*) NORTH EAST BOUND"
355532,4862,-37.6975784073608,148.463165301253,4862,6129,SCOTT STREET btwn BONANG ROAD & NICHOLSON STREET,WEST BOUND,999,E,1100,159,E,0.19,2100,,,-0.004,0.007,2017,"1,100* (14% 159*) WEST BOUND"
355533,4665,-37.6265497809817,146.624056247188,4665,6137,HEYFIELD-JAMIESON ROAD btwn MUSTONS ROAD & JAMIESON-LICOLA ROAD,SOUTH BOUND,56,E,59,21,E,0.45,120,,,-0.021,0.019,2017,59* (36% 21*) SOUTH BOUND
355534,5185,-37.4669759904485,144.304260942338,5185,6143,GREENDALE-TRENTHAM ROAD btwn TIM LANE & UNNAMED,SOUTH BOUND,352,E,373,56,E,0.18,730,,,0.036000000000000004,0.008,2017,373* (15% 56*) SOUTH BOUND
355535,4262,-38.5251349262064,143.980265928856,4262,6151,DEANS MARSH ROAD btwn DEANS MARSH-LORNE ROAD & GREAT OCEAN ROAD,SOUTH BOUND,895,E,948,62,E,0.08,1900,,,0.013000000000000001,0.002,2017,948* (7% 62*) SOUTH BOUND
355536,3974,-37.622805252685,145.21946110567,3974,5481,HEIDELBERG-KINGLAKE ROAD btwn CHURCH ROAD & BURNS STREET,EAST BOUND,1500,E,1300,84,E,0.07,2600,,,0.031,0.006,2017,"1,300* (6% 84*) EAST BOUND"
355537,3568,-37.7869422710324,144.995804207593,3568,5490,HEIDELBERG ROAD btwn HEIDELBERG IN-HODDLE RAMP & HEIDELBERG ROAD,EAST BOUND,18000,E,16000,384,E,0.03,35000,,,0.0,0.003,2017,"16,000* (2% 384*) EAST BOUND"
355538,3571,-37.5578537556264,145.109691261613,3571,5500,PLENTY ROAD btwn DONNYBROOK ROAD & ARTHURS CREEK ROAD,SOUTH BOUND,4700,E,4200,487,E,0.13,8200,,,0.016,0.002,2017,"4,200* (12% 487*) SOUTH BOUND"
355539,4258,-37.8461336859663,147.072154743516,4258,6135,BRIAGOLONG ROAD btwn FORBES STREET & LLOWALONG ROAD,SOUTH BOUND,462,E,489,28,E,0.07,980,,,0.031,0.008,2017,489* (6% 28*) SOUTH BOUND
355540,4666,-37.3886539832463,144.321413346878,4666,6141,COSMO ROAD btwn HIGH STREET & BLACKWOOD ROAD,SOUTH BOUND,308,E,326,46,E,0.17,650,,,0.036000000000000004,0.007,2017,326* (14% 46*) SOUTH BOUND
355541,4869,-37.5621257856716,145.903304753321,4869,6149,WARBURTON-WOODS POINT ROAD btwn MARYSVILLE-WOODS POINT ROAD & MANSFIELD-WOODS POINT ROAD,EAST BOUND,9,E,9,1,E,0.11,20,,,0.059000000000000004,0.023,2017,9* (11% 1*) EAST BOUND
355542,5878,-35.3595809383624,143.562305743271,5878,6730,MURRAY VALLEY HIGHWAY btwn LALBERT ROAD & MCNEILL COURT,SOUTH BOUND,3200,E,3400,557,E,0.2,6700,,,0.019,0.007,2017,"3,400* (16% 557*) SOUTH BOUND"
355543,5880,-35.7625218129498,143.9308512822,5880,6738,MURRAY VALLEY HIGHWAY btwn TISDALL ROAD & LODDON VALLEY HIGHWAY,EAST BOUND,655,E,694,248,E,0.44,1400,,,0.005,0.005,2017,694* (36% 248*) EAST BOUND
355544,4421,-38.0451051207047,145.341233118262,4421,5165,CLYDE ROAD btwn PRINCES FREEWAY EAST & PRINCES HIGHWAY EAST Offramp,SOUTH BOUND,23000,E,21000,561,E,0.03,37000,,,0.028,0.004,2017,"21,000* (3% 561*) SOUTH BOUND"
355545,4093,-37.7868867455556,145.379942970124,4093,5174,YORK ROAD btwn WRAY CRESCENT & HEREFORD ROAD,NORTH EAST BOUND,12000,E,11000,406,E,0.04,22000,,,0.013000000000000001,0.002,2017,"11,000* (4% 406*) NORTH EAST BOUND"
355546,4095,-37.9358527150587,145.491443417315,4095,5183,PAKENHAM ROAD btwn MCBRIDE STREET & MT BURNETT ROAD,SOUTH BOUND,1300,E,1200,126,E,0.12,2400,,,0.017,0.003,2017,"1,200* (11% 126*) SOUTH BOUND"
355547,4615,-38.1008624589231,144.364994537877,4615,5925,CORIO QUAY ROAD btwn STATION STREET & CORIO QUAY ROAD,SOUTH WEST BOUND,3300,E,3500,422,E,0.15,7600,,,-0.004,0.005,2017,"3,500* (12% 422*) SOUTH WEST BOUND"
355548,4219,-38.1808103108975,144.350435362428,4219,5938,BREAKWATER ROAD btwn SETTLEMENT ROAD & BARWON HEADS ROAD,EAST BOUND,7200,E,7700,553,E,0.09,15000,,,0.037000000000000005,0.007,2017,"7,700* (7% 553*) EAST BOUND"
355549,4620,-37.71531296361,145.007521712456,4620,5947,SPRING STREET btwn HIGH STREET & EDWARDES STREET,SOUTH BOUND,12000,A,11000,681,E,0.07,22000,881,749,-0.004,0.005,2017,"11,000 (6% 681*) SOUTH BOUND"
355550,5148,-37.8395023036529,144.99562033826,5148,5956,TOORAK ROAD btwn CHAPEL STREET & WILLIAMS ROAD,EAST BOUND,9300,A,8300,516,E,0.07,18000,436,754,-0.015000000000000001,0.006,2017,"8,300 (6% 516*) EAST BOUND"
355551,4227,-37.7875612805526,145.123753190863,4227,5964,ELGAR ROAD btwn DONCASTER ROAD & SARGENT STREET,SOUTH BOUND,7800,E,7000,433,E,0.07,13000,,,-0.003,0.001,2017,"7,000* (6% 433*) SOUTH BOUND"
355552,4231,-37.7596129164209,145.133910403411,4231,5978,WILLIAMSONS ROAD btwn FOOTE STREET & LYNNWOOD PARADE,SOUTH BOUND,16000,E,14000,880,E,0.07,28000,,,0.031,0.008,2017,"14,000* (6% 880*) SOUTH BOUND"
355553,5154,-38.1138874618969,145.28973115231,5154,5989,CAMERON STREET btwn BERWICK-CRANBOURNE ROAD & SOUTH GIPPSLAND HIGHWAY,SOUTH BOUND,13000,E,11000,523,E,0.05,23000,,,0.022000000000000002,0.004,2017,"11,000* (5% 523*) SOUTH BOUND"
355554,4628,-38.3784488863235,143.552386986815,4628,5993,UNDERWOODS ROAD btwn IRREWILLIPE ROAD & UNDERWOODS ROAD,SOUTH WEST BOUND,408,E,432,30,E,0.09,900,,,0.011000000000000001,0.004,2017,432* (7% 30*) SOUTH WEST BOUND
355555,5156,-38.2462077669032,146.426149798547,5156,6001,MONASH WAY btwn PRINCES HIGHWAY EAST Offramp & COMMERCIAL ROAD,SOUTH BOUND,4800,E,5100,317,E,0.08,10000,,,0.007,0.003,2017,"5,100* (6% 317*) SOUTH BOUND"
355556,4672,-38.1793596346232,143.214569158704,4672,6159,CAMPERDOWN-BALLARAT ROAD btwn CAMPERDOWN-LISMORE ROAD & GELLIE STREET,SOUTH WEST BOUND,747,E,791,135,E,0.21,1600,,,0.01,0.013000000000000001,2017,791* (17% 135*) SOUTH WEST BOUND
355557,4676,-37.8038300237254,145.09706138789,4676,6167,BELMORE ROAD btwn CARAVAN STREET & KALONGA ROAD,EAST BOUND,8300,E,7400,240,E,0.04,14000,,,0.004,0.003,2017,"7,400* (3% 240*) EAST BOUND"
355558,4107,-37.7993924294678,145.473208532075,4107,5235,MONBULK-SEVILLE ROAD btwn BEENAK ROAD & OLD BAKER ROAD,SOUTH WEST BOUND,498,E,448,37,E,0.1,880,,,0.0,0.005,2017,448* (8% 37*) SOUTH WEST BOUND
355559,4441,-37.8545016562666,145.369127950921,4441,5243,OLINDA-MONBULK ROAD btwn THE GEORGIAN ROAD & MONBULK ROAD,SOUTH EAST BOUND,1700,E,1600,89,E,0.07,3100,,,0.016,0.003,2017,"1,600* (6% 89*) SOUTH EAST BOUND"
355560,4113,-37.8015246431686,145.25795276436,4113,5252,MT DANDENONG ROAD btwn BONA STREET & WICKLOW AVENUE,EAST BOUND,14000,E,13000,636,E,0.06,25000,,,0.005,0.009000000000000001,2017,"13,000* (5% 636*) EAST BOUND"
355561,3931,-37.8887418284399,145.294713482004,3931,5262,BRENOCK PARK DRIVE btwn BURWOOD HIGHWAY & GLENFERN ROAD,SOUTH BOUND,7100,E,6400,395,E,0.07,13000,,,-0.004,0.001,2017,"6,400* (6% 395*) SOUTH BOUND"
355562,4805,-38.1291805215801,144.32679758685,4805,5904,MCCURDY ROAD btwn CHURCH STREET & HYLAND STREET,SOUTH WEST BOUND,7100,E,7500,577,E,0.09,14000,,,0.012,0.002,2017,"7,500* (8% 577*) SOUTH WEST BOUND"
355563,5138,-37.8477220721293,144.979732064394,5138,5914,ST KILDA ROAD btwn BEATRICE STREET & HIGH STREET,SOUTH BOUND,14000,A,13000,792,E,0.07,26000,610,1500,0.052000000000000005,0.018000000000000002,2017,"13,000 (6% 792*) SOUTH BOUND"
355564,4808,-38.0577968487475,144.3923949908,4808,5923,SHELL PARADE btwn SHELL PARADE & LOWE STREET,SOUTH BOUND,1600,E,1700,329,E,0.24,3400,,,0.009000000000000001,0.003,2017,"1,700* (19% 329*) SOUTH BOUND"
355565,5143,-38.0988490075828,144.355255359444,5143,5932,NORTH SHORE ROAD btwn MELBOURNE ROAD & STATION STREET,EAST BOUND,2000,E,2200,207,E,0.12,4700,,,0.004,0.005,2017,"2,200* (9% 207*) EAST BOUND"
355566,3989,-37.7434920135767,144.92825270642,3989,5547,PASCOE VALE ROAD btwn UNNAMED & MORELAND ROAD,SOUTH BOUND,12000,E,11000,653,E,0.07,24000,,,-0.006,0.004,2017,"11,000* (6% 653*) SOUTH BOUND"
355567,3992,-37.681690404751,144.883972377161,3992,5557,MICKLEHAM ROAD btwn BROADMEADOWS ROAD DEVIATION & TULLAMARINE FREEWAY Offramp,SOUTH BOUND,26000,E,23000,848,E,0.04,47000,,,0.039,0.011000000000000001,2017,"23,000* (4% 848*) SOUTH BOUND"
355568,3589,-37.3608091366228,144.744249612372,3589,5566,MELBOURNE-LANCEFIELD ROAD btwn MAIN STREET & GISBORNE-KILMORE ROAD,SOUTH BOUND,4300,E,4500,433,E,0.12,9000,,,0.017,0.012,2017,"4,500* (10% 433*) SOUTH BOUND"
355569,4479,-37.8091425172191,145.140558794467,4479,5397,MIDDLEBOROUGH ROAD btwn SPRINGFIELD ROAD & WHITEHORSE ROAD,SOUTH BOUND,12000,E,11000,382,E,0.04,25000,,,-0.014,0.013000000000000001,2017,"11,000* (3% 382*) SOUTH BOUND"
355570,3962,-37.8991509622045,145.124477168924,3962,5406,CLAYTON ROAD btwn FERNTREE GULLY ROAD & DANDENONG ROAD,SOUTH BOUND,11000,E,9700,599,E,0.07,19000,,,-0.011000000000000001,0.003,2017,"9,700* (6% 599*) SOUTH BOUND"
355571,4147,-37.9722793123881,145.111685650613,4147,5416,BOUNDARY ROAD btwn CENTRE DANDENONG ROAD & LOWER DANDENONG ROAD,SOUTH BOUND,20000,E,18000,1200,E,0.08,28000,,,-0.001,0.003,2017,"18,000* (7% 1,200*) SOUTH BOUND"
355572,3553,-37.7934454134187,145.064010555454,3553,5425,DONCASTER ROAD btwn BURKE ROAD & BULLEEN ROAD,EAST BOUND,6000,E,5400,333,E,0.07,14000,,,0.011000000000000001,0.004,2017,"5,400* (6% 333*) EAST BOUND"
355573,4487,-37.7465362149563,145.235470263894,4487,5442,WARRANDYTE-RINGWOOD ROAD btwn JUMPING CREEK ROAD & CROYDON ROAD,SOUTH BOUND,6500,E,5900,425,E,0.08,12000,,,0.005,0.003,2017,"5,900* (7% 425*) SOUTH BOUND"
355574,3558,-37.7601816571683,145.080795320122,3558,5451,BRIDGE STREET btwn MANNINGHAM ROAD & BULLEEN ROAD,EAST BOUND,7000,E,6300,388,E,0.07,13000,,,-0.001,0.002,2017,"6,300* (6% 388*) EAST BOUND"
355575,4492,-37.7473897829113,145.209898797383,4492,5460,YARRA STREET btwn WARRANDYTE ROAD & KANGAROO GROUND-WARRANDYTE ROAD,NORTH EAST BOUND,4400,E,3900,257,E,0.08,8200,,,-0.011000000000000001,0.009000000000000001,2017,"3,900* (7% 257*) NORTH EAST BOUND"
355576,4498,-37.6888859446456,145.113680387014,4498,5471,DIAMOND CREEK ROAD btwn GREENSBOROUGH BYPASS & YAN YEAN ROAD,NORTH EAST BOUND,23000,A,21000,982,E,0.05,42000,965,2400,0.021,0.004,2017,"21,000 (5% 982*) NORTH EAST BOUND"
355577,4632,-38.3286058027731,146.416428670384,4632,6010,ALEXANDER BOULEVARD btwn MONASH WAY & BOOLARRA-CHURCHILL ROAD,NORTH BOUND,2700,E,2800,129,E,0.06,5800,,,0.004,0.004,2017,"2,800* (5% 129*) NORTH BOUND"
355578,5159,-38.232777777821,146.44013594558,5159,6018,ALEXANDERS ROAD btwn PRINCES DRIVE & PRINCES DRIVE,SOUTH BOUND,3700,E,3900,518,E,0.16,7900,,,0.012,0.013000000000000001,2017,"3,900* (13% 518*) SOUTH BOUND"
355579,4241,-37.692799672769,144.99099713679,4241,6026,MAHONEYS ROAD btwn HUGHES PARADE & EDGARS ROAD,EAST BOUND,19000,A,17000,1400,E,0.1,33000,925,1800,0.003,0.003,2017,"17,000 (8% 1,400*) EAST BOUND"
355580,4638,-38.1685844731763,146.412202274716,4638,6035,LATROBE ROAD btwn TANJIL EAST ROAD & GORDON STREET,SOUTH BOUND,1000,E,1100,92,E,0.11,2100,,,0.02,0.01,2017,"1,100* (8% 92*) SOUTH BOUND"
355581,3601,-37.8445518050319,144.785629194278,3601,5638,KOROROIT CREEK ROAD btwn PRINCES FREEWAY WEST & PRINCES HIGHWAY WEST Offramp,EAST BOUND,18000,E,16000,2000,E,0.14,32000,,,0.033,0.01,2017,"16,000* (12% 2,000*) EAST BOUND"
355582,4010,-37.8246972684909,144.848885647398,4010,5646,MILLERS ROAD btwn WEST GATE FREEWAY & WEST GATE FREEWAY,SOUTH BOUND,12000,E,10000,648,E,0.07,20000,,,-0.008,0.003,2017,"10,000* (6% 648*) SOUTH BOUND"
355583,4013,-38.1740978827493,144.580031868333,4013,5656,MURRADOC ROAD btwn CLARENDON ROAD & PORTARLINGTON-QUEENSCLIFF ROAD,EAST BOUND,3500,E,3700,220,E,0.07,7000,,,0.033,0.013000000000000001,2017,"3,700* (6% 220*) EAST BOUND"
355584,4542,-37.836947829125,144.914825234546,4542,5665,WILLIAMSTOWN ROAD btwn UNNAMED & TODD ROAD,EAST BOUND,2400,E,2100,132,E,0.07,4200,,,-0.004,0.001,2017,"2,100* (6% 132*) EAST BOUND"
355585,4018,-37.8556881307105,144.964583036062,4018,5681,BEACONSFIELD PARADE btwn BEACONSFIELD PARADE & LANGRIDGE STREET,SOUTH EAST BOUND,20000,E,18000,730,E,0.05,38000,,,-0.006,0.004,2017,"18,000* (4% 730*) SOUTH EAST BOUND"
355586,4546,-37.8977857445168,144.989537283469,4546,5690,ST KILDA STREET btwn BAY STREET & NORTH ROAD,SOUTH BOUND,14000,E,12000,768,E,0.07,24000,,,0.006,0.003,2017,"12,000* (6% 768*) SOUTH BOUND"
355587,4208,-37.9859065112731,145.051865277645,4208,5699,BEACH ROAD btwn WARRIGAL ROAD & CHARMAN ROAD,SOUTH EAST BOUND,9100,E,8200,494,E,0.07,15000,,,-0.004,0.001,2017,"8,200* (6% 494*) SOUTH EAST BOUND"
355588,4759,-37.9676617342648,145.074142715777,4759,5703,CENTRE DANDENONG ROAD btwn WARRIGAL ROAD & BOUNDARY ROAD,EAST BOUND,15000,E,14000,998,E,0.09,27000,,,0.003,0.004,2017,"14,000* (7% 998*) EAST BOUND"
355589,4220,-38.1685027227015,144.384551549501,4220,5945,BOUNDARY ROAD btwn ORMOND ROAD & CARR STREET,SOUTH BOUND,4100,E,4300,183,E,0.05,8300,,,0.012,0.002,2017,"4,300* (4% 183*) SOUTH BOUND"
355590,4814,-38.4986507700969,143.209521054442,4814,5953,OLD PRINCETOWN ROAD btwn PRINCETOWN ROAD & GREAT OCEAN ROAD,SOUTH BOUND,399,E,422,68,E,0.2,940,,,0.006,0.019,2017,422* (16% 68*) SOUTH BOUND
